timestamp,Right_Thumb1,Right_Thumb2,Right_Index1,Right_Index2,Right_Middle1,Right_Middle2,Right_Ring1,Right_Ring2,Right_Pinky1,Right_Pinky2
1759713582.3101015,,,,,,,,,,
1759713582.3874147,,,,,,,,,,
1759713582.407843,,,,,,,,,,
1759713582.4374504,,,,,,,,,,
1759713582.4697773,,,,,,,,,,
1759713582.5081663,,,,,,,,,,
1759713582.5216398,,,,,,,,,,
1759713582.567611,,,,,,,,,,
1759713582.5906355,,,,,,,,,,
1759713582.6277282,,,,,,,,,,
1759713582.6469662,,,,,,,,,,
1759713582.6948545,,,,,,,,,,
1759713582.7090464,,,,,,,,,,
1759713582.7527003,,,,,,,,,,
1759713582.7719498,,,,,,,,,,
1759713582.834432,,,,,,,,,,
1759713582.8549294,,,,,,,,,,
1759713582.9075427,,,,,,,,,,
1759713582.9158866,,,,,,,,,,
1759713582.9640005,,,,,,,,,,
1759713582.9832783,,,,,,,,,,
1759713583.0261085,,,,,,,,,,
1759713583.046251,,,,,,,,,,
1759713583.088348,,,,,,,,,,
1759713583.1097615,,,,,,,,,,
1759713583.169589,,,,,,,,,,
1759713583.1899316,,,,,,,,,,
1759713583.233073,,,,,,,,,,
1759713583.2525108,,,,,,,,,,
1759713583.2960484,,,,,,,,,,
1759713583.314534,,,,,,,,,,
1759713583.3646314,,,,,,,,,,
1759713583.3846338,,,,,,,,,,
1759713583.4252977,,,,,,,,,,
1759713583.4522548,,,,,,,,,,
1759713583.4873066,,,,,,,,,,
1759713583.511113,,,,,,,,,,
1759713583.5733876,,,,,,,,,,
1759713583.594194,,,,,,,,,,
1759713583.6329482,,,,,,,,,,
1759713583.650316,,,,,,,,,,
1759713583.701105,,,,,,,,,,
1759713583.7265418,,,,,,,,,,
1759713583.7612846,,,,,,,,,,
1759713583.780729,,,,,,,,,,
1759713583.8265355,,,,,,,,,,
1759713583.845992,,,,,,,,,,
1759713583.912193,,,,,,,,,,
1759713583.9291625,,,,,,,,,,
1759713583.9701197,,,,,,,,,,
1759713583.9890728,,,,,,,,,,
1759713584.0326502,,,,,,,,,,
1759713584.0625205,,,,,,,,,,
1759713584.0977714,,,,,,,,,,
1759713584.1181405,,,,,,,,,,
1759713584.1599941,,,,,,,,,,
1759713584.1808314,,,,,,,,,,
1759713584.2330248,,,,,,,,,,
1759713584.2430055,,,,,,,,,,
1759713584.2628076,,,,,,,,,,
1759713584.3130076,,,,,,,,,,
1759713584.3700902,,,,,,,,,,
1759713584.3933156,,,,,,,,,,
1759713584.4319403,,,,,,,,,,
1759713584.4516098,,,,,,,,,,
1759713584.4969664,,,,,,,,,,
1759713584.516304,,,,,,,,,,
1759713584.5623834,,,,,,,,,,
1759713584.5809333,,,,,,,,,,
1759713584.6260574,,,,,,,,,,
1759713584.6443024,,,,,,,,,,
1759713584.6624222,,,,,,,,,,
1759713584.7147942,,,,,,,,,,
1759713584.768877,,,,,,,,,,
1759713584.7974358,,,,,,,,,,
1759713584.8318202,,,,,,,,,,
1759713584.8528254,,,,,,,,,,
1759713584.8965695,,,,,,,,,,
1759713584.915929,,,,,,,,,,
1759713584.959044,,,,,,,,,,
1759713584.977488,,,,,,,,,,
1759713585.04547,,,,,,,,,,
1759713585.0653336,,,,,,,,,,
1759713585.0965476,,,,,,,,,,
1759713585.1044166,,,,,,,,,,
1759713585.1710944,,,,,,,,,,
1759713585.1917028,,,,,,,,,,
1759713585.2315154,,,,,,,,,,
1759713585.2496438,,,,,,,,,,
1759713585.2986338,,,,,,,,,,
1759713585.318511,,,,,,,,,,
1759713585.3600624,,,,,,,,,,
1759713585.3791757,,,,,,,,,,
